Timestamp,Object Temperature (F),Ambient Temperature (F),Emissivity
2025-01-15 20:33:11,53,62,0.55
2025-01-15 20:33:12,54,61,0.55
2025-01-15 20:33:13,54,61,0.55
2025-01-15 20:33:14,54,61,0.55
2025-01-15 20:33:15,54,61,0.55
2025-01-15 20:33:16,54,61,0.55
2025-01-15 20:33:17,54,61,0.55
2025-01-15 20:33:18,55,61,0.55
2025-01-15 20:33:19,55,61,0.55
2025-01-15 20:33:20,55,61,0.55
2025-01-15 20:33:21,55,61,0.55
2025-01-15 20:33:22,54,61,0.55
2025-01-15 20:33:23,55,61,0.55
2025-01-15 20:33:24,56,61,0.55
2025-01-15 20:33:25,55,61,0.55
2025-01-15 20:33:26,55,61,0.55
2025-01-15 20:33:27,55,61,0.55
2025-01-15 20:33:28,54,61,0.55
2025-01-15 20:33:29,54,61,0.55
2025-01-15 20:33:30,54,61,0.55
2025-01-15 20:33:31,53,61,0.55
2025-01-15 20:33:32,54,61,0.55
2025-01-15 20:33:33,54,61,0.55
2025-01-15 20:33:34,54,61,0.55
2025-01-15 20:33:35,55,61,0.55
2025-01-15 20:33:36,54,61,0.55
2025-01-15 20:33:37,54,61,0.55
2025-01-15 20:33:38,54,62,0.55
2025-01-15 20:33:39,55,61,0.55
2025-01-15 20:33:40,54,62,0.55
2025-01-15 20:33:41,54,62,0.55
2025-01-15 20:33:42,54,62,0.55
2025-01-15 20:33:43,54,62,0.55
2025-01-15 20:33:44,55,62,0.55
2025-01-15 20:33:45,54,62,0.55
2025-01-15 20:33:46,54,62,0.55
2025-01-15 20:33:47,54,62,0.55
2025-01-15 20:33:48,54,62,0.55
2025-01-15 20:33:49,54,62,0.55
2025-01-15 20:33:50,54,62,0.55
2025-01-15 20:33:51,55,62,0.55
2025-01-15 20:33:52,55,62,0.55
2025-01-15 20:33:53,55,62,0.55
2025-01-15 20:33:54,55,62,0.55
2025-01-15 20:33:55,55,62,0.55
2025-01-15 20:33:56,54,62,0.55
2025-01-15 20:33:57,54,62,0.55
2025-01-15 20:33:58,54,62,0.55
2025-01-15 20:33:59,54,62,0.55
2025-01-15 20:34:00,54,62,0.55
2025-01-15 20:34:01,55,62,0.55
2025-01-15 20:34:02,55,62,0.55
2025-01-15 20:34:03,56,62,0.55
2025-01-15 20:34:04,55,62,0.55
2025-01-15 20:34:05,54,62,0.55
2025-01-15 20:34:06,55,62,0.55
2025-01-15 20:34:07,56,62,0.55
2025-01-15 20:34:08,65,62,0.55
2025-01-15 20:34:09,84,63,0.55
2025-01-15 20:34:10,65,64,0.55
2025-01-15 20:34:11,55,64,0.55
2025-01-15 20:34:12,51,64,0.55
